,Median,Mean,MAP,95-CI
$t_1$,4.587,4.630,4.334,[1.024 - 8.454]
$t_2$,14.977,14.991,14.832,[13.068 - 16.955]
$t_3$,21.936,21.946,21.839,[19.841 - 24.089]
$t_4$,54.618,54.590,54.691,[52.712 - 56.271]
$\Delta t_1$,2.784,2.901,2.651,[1.419 - 5.055]
$\Delta t_2$,3.002,3.086,2.959,[1.573 - 5.191]
$\Delta t_3$,3.031,3.142,2.841,[1.719 - 5.168]
$\Delta t_4$,2.703,2.763,2.628,[1.521 - 4.317]
$\lambda_0$,0.786,0.824,0.723,[0.485 - 1.364]
$\lambda_1$,0.282,0.289,0.276,[0.162 - 0.456]
$\lambda_2$,0.193,0.200,0.182,[0.083 - 0.359]
$\lambda_3$,0.205,0.208,0.201,[0.138 - 0.293]
$\lambda_4$,0.141,0.154,0.124,[0.055 - 0.331]
$\mu$,0.133,0.136,0.124,[0.088 - 0.197]
$f_I$,0.833,0.828,0.848,[0.623 - 1.010]
$\phi_I$,1.624,1.448,1.928,[-1.182 - 3.016]
$f_D$,0.564,0.561,0.564,[0.297 - 0.808]
$\phi_D$,1.010,0.979,1.033,[-0.079 - 1.861]
$D_I$,5.874,5.913,5.766,[3.907 - 8.102]
$D_D$,6.721,6.771,6.649,[4.424 - 9.372]
$E_0$,237.423,245.178,216.508,[114.561 - 419.777]
$\sigma_I$,5.199,5.265,5.063,[3.694 - 7.178]
$\sigma_D$,1.378,1.391,1.348,[0.997 - 1.874]
$lpha$,0.136,0.164,0.079,[0.010 - 0.469]
$eta$,0.239,0.248,0.218,[0.134 - 0.413]
$\gamma$,0.207,0.232,0.179,[0.102 - 0.507]
$\eta$,0.455,0.471,0.430,[0.287 - 0.735]
$	heta$,0.183,0.189,0.151,[0.075 - 0.324]
$\delta$,0.025,0.028,0.020,[0.011 - 0.059]
$d$,0.171,0.180,0.110,[0.075 - 0.322]
