,Median,Mean,MAP,95-CI
$t_1$,0.856,1.212,0.419,[0.025 - 3.948]
$t_2$,15.559,15.524,15.559,[13.267 - 17.639]
$t_3$,22.036,21.984,22.037,[19.882 - 24.120]
$t_4$,54.540,54.384,54.603,[52.205 - 56.258]
$\Delta t_1$,2.395,2.503,2.278,[1.201 - 4.500]
$\Delta t_2$,3.063,3.182,2.832,[1.465 - 5.674]
$\Delta t_3$,3.154,3.273,3.032,[1.561 - 5.708]
$\Delta t_4$,2.616,2.702,2.491,[1.417 - 4.178]
$\lambda_0$,0.484,0.517,0.456,[0.270 - 0.892]
$\lambda_1$,0.254,0.253,0.258,[0.172 - 0.341]
$\lambda_2$,0.292,0.308,0.263,[0.130 - 0.564]
$\lambda_3$,0.274,0.283,0.269,[0.185 - 0.403]
$\lambda_4$,0.154,0.163,0.136,[0.041 - 0.367]
$\mu$,0.171,0.176,0.165,[0.113 - 0.265]
$f_I$,0.751,0.739,0.769,[0.457 - 0.974]
$\phi_I$,1.727,1.507,1.928,[-2.201 - 3.225]
$f_D$,0.579,0.567,0.586,[0.217 - 0.854]
$\phi_D$,1.150,1.092,1.284,[-0.412 - 2.154]
$D_I$,7.327,7.441,7.179,[4.622 - 10.752]
$D_D$,4.389,4.505,4.063,[2.046 - 7.314]
$E_0$,375.128,389.799,348.724,[159.686 - 693.595]
$\sigma_I$,8.863,9.041,8.708,[5.935 - 13.460]
$\sigma_D$,3.102,3.164,3.049,[1.910 - 4.769]
$lpha$,0.102,0.125,0.066,[0.008 - 0.396]
$eta$,0.222,0.230,0.205,[0.118 - 0.382]
$\gamma$,0.449,0.574,0.374,[0.179 - 1.867]
$\eta$,0.490,0.507,0.473,[0.320 - 0.776]
$	heta$,0.169,0.176,0.152,[0.078 - 0.301]
$\delta$,0.091,0.100,0.073,[0.039 - 0.205]
$d$,0.222,0.224,0.196,[0.091 - 0.360]
