,Median,Mean,MAP,95-CI
$t_1$,0.776,1.046,0.563,[0.121 - 3.320]
$t_2$,15.470,15.291,15.323,[11.543 - 18.068]
$t_3$,21.785,21.399,22.079,[18.185 - 23.479]
$t_4$,53.446,52.444,53.720,[43.985 - 56.039]
$\Delta t_1$,1.861,1.817,1.866,[0.811 - 2.812]
$\Delta t_2$,2.367,2.774,2.185,[1.653 - 4.384]
$\Delta t_3$,2.805,2.869,3.422,[1.320 - 4.877]
$\Delta t_4$,2.744,2.801,2.717,[1.538 - 3.900]
$\lambda_0$,1.670,2.157,1.538,[0.626 - 5.613]
$\lambda_1$,0.184,0.183,0.184,[0.115 - 0.270]
$\lambda_2$,0.208,0.208,0.198,[0.130 - 0.296]
$\lambda_3$,0.180,0.183,0.177,[0.124 - 0.252]
$\lambda_4$,0.120,0.140,0.106,[0.006 - 0.281]
$\mu$,0.151,0.157,0.146,[0.117 - 0.222]
$f_I$,0.590,0.593,0.580,[0.435 - 0.748]
$\phi_I$,1.872,1.838,1.988,[0.708 - 2.431]
$f_D$,0.742,0.749,0.744,[0.469 - 0.993]
$\phi_D$,1.308,0.890,1.597,[-2.656 - 2.851]
$D_I$,3.808,4.058,2.735,[1.348 - 7.133]
$D_D$,5.067,5.248,5.377,[3.174 - 7.832]
$E_0$,8.968,42.205,14.463,[0.492 - 245.598]
$\sigma_I$,6.014,6.760,5.849,[4.428 - 10.591]
$\sigma_D$,2.939,3.018,2.955,[2.171 - 4.021]
$lpha$,0.121,0.206,0.109,[0.009 - 0.683]
$eta$,0.216,0.216,0.206,[0.125 - 0.342]
$\gamma$,2.255,1.853,2.637,[0.253 - 3.302]
$\eta$,0.345,0.367,0.345,[0.238 - 0.573]
$	heta$,0.159,0.175,0.153,[0.086 - 0.281]
$\delta$,0.087,0.091,0.080,[0.047 - 0.186]
$d$,0.194,0.219,0.190,[0.082 - 0.368]
