,Median,Mean,MAP,95-CI
$t_1$,2.552,2.910,1.226,[0.131 - 7.802]
$t_2$,15.569,15.553,15.692,[13.514 - 17.521]
$t_3$,22.009,22.024,21.824,[20.045 - 24.042]
$t_4$,54.574,54.542,54.764,[52.681 - 56.231]
$\Delta t_1$,2.743,2.836,2.429,[1.312 - 5.037]
$\Delta t_2$,3.138,3.240,2.753,[1.576 - 5.421]
$\Delta t_3$,3.094,3.204,2.965,[1.525 - 5.490]
$\Delta t_4$,2.686,2.745,2.577,[1.500 - 4.272]
$\lambda_0$,0.488,0.512,0.445,[0.314 - 0.853]
$\lambda_1$,0.291,0.297,0.283,[0.199 - 0.427]
$\lambda_2$,0.304,0.314,0.286,[0.140 - 0.554]
$\lambda_3$,0.247,0.250,0.245,[0.170 - 0.346]
$\lambda_4$,0.169,0.183,0.149,[0.066 - 0.385]
$\mu$,0.154,0.157,0.150,[0.101 - 0.229]
$f_I$,0.622,0.621,0.636,[0.430 - 0.812]
$\phi_I$,1.809,1.800,1.830,[1.291 - 2.254]
$f_D$,0.539,0.535,0.542,[0.256 - 0.778]
$\phi_D$,1.306,1.277,1.319,[0.351 - 2.013]
$D_I$,5.705,5.745,5.573,[3.528 - 8.202]
$D_D$,6.240,6.267,6.476,[3.802 - 8.931]
$E_0$,380.235,386.676,377.034,[201.481 - 612.963]
$\sigma_I$,3.537,3.576,3.504,[2.391 - 5.005]
$\sigma_D$,1.371,1.388,1.313,[0.925 - 1.954]
$lpha$,0.109,0.135,0.053,[0.008 - 0.409]
$eta$,0.223,0.232,0.212,[0.121 - 0.387]
$\gamma$,0.255,0.299,0.207,[0.116 - 0.754]
$\eta$,0.440,0.454,0.417,[0.286 - 0.708]
$	heta$,0.153,0.166,0.120,[0.075 - 0.307]
$\delta$,0.044,0.050,0.034,[0.020 - 0.106]
$d$,0.196,0.200,0.132,[0.081 - 0.336]
