,Median,Mean,MAP,95-CI
$t_1$,5.349,5.452,5.202,[0.609 - 11.036]
$t_2$,15.352,15.351,15.436,[13.316 - 17.360]
$t_3$,22.065,22.075,22.012,[20.077 - 24.140]
$t_4$,54.573,54.544,54.583,[52.744 - 56.136]
$\Delta t_1$,2.790,2.903,2.540,[1.352 - 5.051]
$\Delta t_2$,3.133,3.261,3.021,[1.627 - 5.587]
$\Delta t_3$,3.141,3.252,2.924,[1.727 - 5.391]
$\Delta t_4$,2.620,2.674,2.431,[1.447 - 4.212]
$\lambda_0$,0.453,0.477,0.416,[0.287 - 0.807]
$\lambda_1$,0.258,0.268,0.247,[0.136 - 0.459]
$\lambda_2$,0.297,0.315,0.269,[0.119 - 0.609]
$\lambda_3$,0.242,0.247,0.233,[0.148 - 0.379]
$\lambda_4$,0.142,0.157,0.121,[0.051 - 0.347]
$\mu$,0.156,0.160,0.149,[0.102 - 0.235]
$f_I$,0.754,0.742,0.819,[0.447 - 1.002]
$\phi_I$,1.639,0.898,2.702,[-3.172 - 3.911]
$f_D$,0.695,0.686,0.720,[0.374 - 0.950]
$\phi_D$,0.526,0.438,0.718,[-2.638 - 3.034]
$D_I$,7.209,7.273,7.057,[4.467 - 10.376]
$D_D$,6.409,6.450,6.364,[4.031 - 9.145]
$E_0$,280.310,290.677,262.891,[132.731 - 499.054]
$\sigma_I$,6.613,6.716,6.433,[4.583 - 9.423]
$\sigma_D$,2.478,2.524,2.444,[1.625 - 3.718]
$lpha$,0.117,0.141,0.064,[0.007 - 0.417]
$eta$,0.222,0.229,0.206,[0.109 - 0.394]
$\gamma$,0.230,0.272,0.179,[0.095 - 0.713]
$\eta$,0.476,0.494,0.453,[0.298 - 0.791]
$	heta$,0.179,0.186,0.132,[0.079 - 0.318]
$\delta$,0.043,0.050,0.033,[0.017 - 0.121]
$d$,0.194,0.199,0.112,[0.079 - 0.338]
