,Median,Mean,MAP,95-CI
$t_1$,0.455,0.593,0.234,[0.018 - 1.953]
$t_2$,15.893,15.873,15.937,[13.473 - 18.044]
$t_3$,21.524,21.551,21.518,[19.490 - 23.599]
$t_4$,54.683,54.607,54.727,[52.820 - 56.099]
$\Delta t_1$,2.171,2.203,2.143,[1.054 - 3.793]
$\Delta t_2$,3.202,3.299,2.934,[1.574 - 5.652]
$\Delta t_3$,3.171,3.237,2.973,[1.546 - 5.157]
$\Delta t_4$,2.649,2.692,2.603,[1.447 - 4.164]
$\lambda_0$,0.980,1.025,0.900,[0.574 - 1.684]
$\lambda_1$,0.216,0.217,0.214,[0.136 - 0.299]
$\lambda_2$,0.383,0.402,0.372,[0.180 - 0.735]
$\lambda_3$,0.221,0.222,0.220,[0.147 - 0.317]
$\lambda_4$,0.159,0.173,0.148,[0.074 - 0.329]
$\mu$,0.147,0.151,0.138,[0.099 - 0.225]
$f_I$,0.837,0.835,0.852,[0.693 - 0.984]
$\phi_I$,2.003,1.851,2.104,[-0.859 - 3.308]
$f_D$,0.325,0.322,0.350,[0.062 - 0.594]
$\phi_D$,0.783,0.775,0.780,[0.259 - 1.230]
$D_I$,4.824,4.825,4.795,[2.989 - 6.382]
$D_D$,5.165,5.193,4.631,[2.833 - 7.520]
$E_0$,218.299,230.527,206.738,[100.453 - 436.155]
$\sigma_I$,4.152,4.158,4.263,[2.801 - 5.732]
$\sigma_D$,2.712,2.779,2.567,[1.892 - 3.857]
$lpha$,0.114,0.135,0.058,[0.008 - 0.388]
$eta$,0.246,0.251,0.243,[0.132 - 0.423]
$\gamma$,0.270,0.309,0.228,[0.142 - 0.770]
$\eta$,0.462,0.478,0.409,[0.284 - 0.734]
$	heta$,0.176,0.181,0.122,[0.073 - 0.316]
$\delta$,0.065,0.073,0.052,[0.032 - 0.153]
$d$,0.206,0.209,0.140,[0.085 - 0.340]
