,Median,Mean,MAP,95-CI
$t_1$,0.923,0.988,0.696,[0.190 - 2.323]
$t_2$,15.940,15.970,15.950,[13.705 - 18.378]
$t_3$,21.678,21.307,21.968,[19.142 - 22.896]
$t_4$,54.075,53.258,54.581,[46.642 - 56.201]
$\Delta t_1$,2.045,2.017,2.009,[1.267 - 2.829]
$\Delta t_2$,2.693,2.951,2.683,[1.914 - 5.697]
$\Delta t_3$,2.741,3.101,2.741,[1.740 - 5.072]
$\Delta t_4$,2.485,2.554,2.153,[1.802 - 3.908]
$\lambda_0$,2.967,2.576,3.268,[0.543 - 4.570]
$\lambda_1$,0.217,0.206,0.223,[0.133 - 0.246]
$\lambda_2$,0.257,0.266,0.249,[0.163 - 0.430]
$\lambda_3$,0.191,0.191,0.180,[0.136 - 0.252]
$\lambda_4$,0.123,0.151,0.116,[0.031 - 0.308]
$\mu$,0.169,0.161,0.174,[0.116 - 0.207]
$f_I$,0.749,0.739,0.792,[0.598 - 0.859]
$\phi_I$,1.418,1.138,1.570,[-2.038 - 2.664]
$f_D$,0.312,0.314,0.312,[0.091 - 0.546]
$\phi_D$,0.853,0.824,0.853,[0.381 - 1.257]
$D_I$,1.786,3.108,1.669,[1.200 - 6.751]
$D_D$,4.682,4.790,3.835,[2.882 - 6.926]
$E_0$,5.423,27.555,6.091,[0.890 - 145.903]
$\sigma_I$,6.165,6.174,6.584,[4.861 - 7.357]
$\sigma_D$,3.864,4.027,3.571,[3.022 - 5.592]
$lpha$,0.133,0.128,0.132,[0.007 - 0.304]
$eta$,0.208,0.201,0.217,[0.095 - 0.305]
$\gamma$,1.517,1.501,0.643,[0.354 - 3.147]
$\eta$,0.338,0.354,0.320,[0.258 - 0.512]
$	heta$,0.161,0.167,0.156,[0.066 - 0.268]
$\delta$,0.126,0.135,0.111,[0.065 - 0.231]
$d$,0.211,0.217,0.140,[0.100 - 0.392]
