,Median,Mean,MAP,95-CI
$t_1$,0.812,1.121,0.386,[0.023 - 3.918]
$t_2$,15.529,15.569,15.334,[13.604 - 17.699]
$t_3$,22.461,22.431,22.590,[20.418 - 24.450]
$t_4$,54.560,54.525,54.749,[52.835 - 56.178]
$\Delta t_1$,2.453,2.530,2.288,[1.146 - 4.315]
$\Delta t_2$,3.083,3.228,2.887,[1.545 - 5.601]
$\Delta t_3$,3.184,3.246,2.961,[1.605 - 5.534]
$\Delta t_4$,2.741,2.789,2.695,[1.574 - 4.193]
$\lambda_0$,0.659,0.702,0.585,[0.381 - 1.306]
$\lambda_1$,0.228,0.230,0.222,[0.148 - 0.333]
$\lambda_2$,0.354,0.375,0.318,[0.168 - 0.692]
$\lambda_3$,0.168,0.171,0.165,[0.087 - 0.264]
$\lambda_4$,0.174,0.189,0.145,[0.072 - 0.399]
$\mu$,0.137,0.139,0.133,[0.092 - 0.202]
$f_I$,0.617,0.616,0.622,[0.374 - 0.845]
$\phi_I$,1.836,1.808,1.909,[1.011 - 2.491]
$f_D$,0.682,0.680,0.685,[0.413 - 0.934]
$\phi_D$,1.329,1.074,1.636,[-2.068 - 3.017]
$D_I$,4.972,5.012,4.964,[3.139 - 7.193]
$D_D$,6.810,6.857,6.744,[4.223 - 9.692]
$E_0$,290.229,299.952,276.571,[131.798 - 534.540]
$\sigma_I$,4.744,4.798,4.738,[3.163 - 6.654]
$\sigma_D$,1.940,1.959,1.872,[1.356 - 2.704]
$lpha$,0.109,0.135,0.066,[0.005 - 0.406]
$eta$,0.226,0.234,0.206,[0.115 - 0.385]
$\gamma$,0.217,0.262,0.183,[0.101 - 0.752]
$\eta$,0.475,0.490,0.455,[0.297 - 0.790]
$	heta$,0.166,0.177,0.111,[0.070 - 0.323]
$\delta$,0.057,0.064,0.043,[0.024 - 0.138]
$d$,0.181,0.191,0.127,[0.078 - 0.332]
