,Median,Mean,MAP,95-CI
$t_1$,3.223,3.468,2.398,[0.226 - 8.406]
$t_2$,15.185,15.178,15.205,[13.124 - 17.243]
$t_3$,22.040,22.043,22.151,[20.012 - 24.166]
$t_4$,54.591,54.581,54.462,[52.761 - 56.234]
$\Delta t_1$,2.759,2.862,2.571,[1.356 - 5.009]
$\Delta t_2$,3.023,3.152,2.822,[1.606 - 5.356]
$\Delta t_3$,3.121,3.230,2.953,[1.575 - 5.559]
$\Delta t_4$,2.650,2.699,2.604,[1.482 - 4.201]
$\lambda_0$,0.499,0.521,0.458,[0.317 - 0.857]
$\lambda_1$,0.242,0.247,0.235,[0.149 - 0.370]
$\lambda_2$,0.250,0.263,0.236,[0.098 - 0.506]
$\lambda_3$,0.305,0.310,0.297,[0.207 - 0.440]
$\lambda_4$,0.160,0.175,0.133,[0.062 - 0.373]
$\mu$,0.168,0.171,0.157,[0.108 - 0.254]
$f_I$,0.519,0.515,0.534,[0.225 - 0.787]
$\phi_I$,2.656,2.187,2.976,[-2.374 - 4.537]
$f_D$,0.655,0.647,0.694,[0.326 - 0.914]
$\phi_D$,1.097,0.972,1.306,[-1.636 - 2.948]
$D_I$,7.077,7.130,6.970,[4.479 - 10.091]
$D_D$,5.909,5.966,5.547,[3.464 - 8.729]
$E_0$,292.169,300.799,285.673,[140.528 - 517.489]
$\sigma_I$,5.387,5.464,5.242,[3.719 - 7.588]
$\sigma_D$,1.675,1.700,1.615,[1.130 - 2.398]
$lpha$,0.133,0.160,0.084,[0.010 - 0.448]
$eta$,0.230,0.238,0.219,[0.117 - 0.403]
$\gamma$,0.281,0.328,0.231,[0.121 - 0.796]
$\eta$,0.455,0.473,0.421,[0.289 - 0.764]
$	heta$,0.175,0.184,0.130,[0.078 - 0.319]
$\delta$,0.036,0.041,0.028,[0.016 - 0.095]
$d$,0.201,0.203,0.130,[0.079 - 0.342]
