,Median,Mean,MAP,95-CI
$t_1$,4.924,5.040,4.534,[0.689 - 10.056]
$t_2$,15.204,15.212,15.110,[13.215 - 17.204]
$t_3$,22.024,22.027,22.122,[19.888 - 24.139]
$t_4$,54.598,54.562,54.664,[52.703 - 56.201]
$\Delta t_1$,2.807,2.927,2.613,[1.383 - 5.219]
$\Delta t_2$,3.060,3.176,2.870,[1.594 - 5.391]
$\Delta t_3$,3.127,3.241,2.907,[1.700 - 5.369]
$\Delta t_4$,2.624,2.701,2.414,[1.469 - 4.307]
$\lambda_0$,0.595,0.626,0.551,[0.367 - 1.068]
$\lambda_1$,0.276,0.285,0.264,[0.150 - 0.469]
$\lambda_2$,0.239,0.253,0.215,[0.093 - 0.490]
$\lambda_3$,0.235,0.240,0.224,[0.149 - 0.353]
$\lambda_4$,0.148,0.164,0.128,[0.052 - 0.373]
$\mu$,0.145,0.148,0.142,[0.093 - 0.218]
$f_I$,0.802,0.786,0.836,[0.506 - 1.022]
$\phi_I$,-1.268,-0.653,-2.191,[-3.406 - 3.347]
$f_D$,0.644,0.635,0.651,[0.313 - 0.902]
$\phi_D$,0.938,0.818,1.183,[-1.878 - 2.828]
$D_I$,6.246,6.289,6.255,[3.884 - 8.980]
$D_D$,6.232,6.263,6.200,[3.754 - 9.014]
$E_0$,302.835,312.024,279.609,[145.743 - 529.748]
$\sigma_I$,9.957,10.098,9.781,[6.979 - 13.984]
$\sigma_D$,1.897,1.927,1.842,[1.325 - 2.695]
$lpha$,0.120,0.147,0.069,[0.008 - 0.424]
$eta$,0.236,0.246,0.220,[0.130 - 0.412]
$\gamma$,0.245,0.285,0.200,[0.110 - 0.692]
$\eta$,0.463,0.479,0.426,[0.288 - 0.762]
$	heta$,0.167,0.177,0.119,[0.074 - 0.317]
$\delta$,0.017,0.018,0.013,[0.006 - 0.039]
$d$,0.164,0.174,0.109,[0.074 - 0.318]
