Province/State,date,FIPS,Lat,Long,infections,recovered,deaths,newinfections,newrecovered,newdeaths
" Norfolk County, MA",2020-03-03,0.0,0.0,0.0,1,0,0,1,0,0
" Norfolk County, MA",2020-03-06,0.0,0.0,0.0,2,0,0,2,0,0
Alabama,2020-03-11,0.0,0.0,0.0,5,0,0,5,0,0
Alabama,2020-03-14,0.0,0.0,0.0,6,0,0,6,0,0
Alabama,2020-03-15,0.0,0.0,0.0,12,0,0,6,0,0
Alabama,2020-03-16,0.0,0.0,0.0,29,0,0,17,0,0
Alabama,2020-03-17,0.0,0.0,0.0,39,0,0,10,0,0
Alabama,2020-03-18,0.0,0.0,0.0,46,0,0,7,0,0
Alabama,2020-03-19,0.0,0.0,0.0,78,0,0,32,0,0
Alabama,2020-03-20,0.0,0.0,0.0,83,0,0,5,0,0
Alabama,2020-03-21,0.0,0.0,0.0,131,0,0,48,0,0
Alabama,2020-03-22,71489.0,2203.24678369,-5809.578199250001,157,0,0,157,0,0
Alabama,2020-03-23,71489.0,2203.2467836900005,-5809.578199249999,196,0,0,39,0,0
Alabama,2020-03-24,71489.0,2203.2467836900005,-5809.578199250001,242,0,0,46,0,0
Alabama,2020-03-25,71489.0,2203.2467836899996,-5809.57819925,381,0,1,139,0,1
Alabama,2020-03-26,71489.0,2203.2467836900005,-5809.578199250002,517,0,1,136,0,0
Alabama,2020-03-27,71489.0,2203.24678369,-5809.578199250001,587,0,4,70,0,3
Alabama,2020-03-28,71489.0,2203.24678369,-5809.57819925,694,0,4,107,0,0
Alabama,2020-03-29,71489.0,2203.24678369,-5809.5781992500015,825,0,10,131,0,6
Alabama,2020-03-30,71489.0,2203.2467836900005,-5809.57819925,899,0,10,74,0,0
Alabama,2020-03-31,63115.0,1950.1879517400002,-5119.38630271,987,0,23,88,0,13
Alabama,2020-04-01,63115.0,1950.1879517400002,-5119.386302709999,1060,0,27,73,0,4
Alabama,2020-04-02,157252.0,2076.1326668499996,-5465.814956929999,1233,0,32,173,0,5
Alabama,2020-04-03,69323.0,2139.51241001,-5636.44476497,1495,0,38,262,0,11
Alabama,2020-04-04,69323.0,2139.51241001,-5636.44476497,1614,0,44,119,0,6
Alabama,2020-04-05,70428.0,2172.15289342,-5723.742470859999,1765,0,45,151,0,1
Alabama,2020-04-06,70428.0,2172.1528934200014,-5723.7424708599965,1952,0,49,187,0,4
Alabama,2020-04-07,70428.0,2172.1528934200005,-5723.74247086,2169,0,64,217,0,15
Alabama,2020-04-08,71489.0,2203.24678369,-5809.57819925,2328,0,66,159,0,2
Alabama,2020-04-09,71489.0,2203.246783690001,-5809.5781992500015,2703,0,70,375,0,4
Alabama,2020-04-10,70428.0,2172.15289342,-5723.742470859998,2947,0,80,245,0,10
Alabama,2020-04-11,160429.0,2172.1528934200005,-5723.74247086,3217,0,92,270,0,12
Alabama,2020-04-12,161490.0,2203.2467836899996,-5809.57819925,3563,0,93,346,0,1
Alabama,2020-04-13,161490.0,2203.24678369,-5809.578199250001,3734,0,99,171,0,6
Alabama,2020-04-14,71489.0,2203.2467836900005,-5809.578199250001,3953,0,114,219,0,15
Alabama,2020-04-15,71489.0,2203.24678369,-5809.57819925,4075,0,118,122,0,4
Alabama,2020-04-16,161490.0,2203.24678369,-5809.578199250001,4345,0,133,270,0,15
Alabama,2020-04-17,161490.0,2203.2467836900005,-5809.5781992500015,4571,0,148,226,0,15
Alabama,2020-04-18,161490.0,2203.2467836900005,-5809.578199250001,4712,0,153,141,0,5
Alabama,2020-04-19,161490.0,2203.24678369,-5809.5781992500015,4888,0,157,176,0,4
Alabama,2020-04-20,161490.0,2203.2467836900005,-5809.578199250001,5079,0,163,191,0,6
Alabama,2020-04-21,161490.0,2203.2467836900005,-5809.57819925,5317,0,183,238,0,20
Alabama,2020-04-22,161490.0,2203.2467836899996,-5809.57819925,5593,0,196,276,0,13
Alabama,2020-04-24,161490.0,2203.246783690001,-5809.57819925,5832,0,202,5832,0,202
Alabama,2020-04-25,161490.0,2203.2467836900005,-5809.57819925,6026,0,209,194,0,7
Alabama,2020-04-26,161490.0,2203.24678369,-5809.578199250001,6026,0,209,0,0,0
Alabama,2020-04-27,161490.0,2203.24678369,-5809.578199250001,6421,0,219,395,0,10
Alabama,2020-04-28,161490.0,2203.24678369,-5809.5781992500015,6539,0,228,118,0,9
Alabama,2020-04-29,161490.0,2203.24678369,-5809.578199250001,6750,0,242,211,0,14
Alabama,2020-04-30,161490.0,2203.2467836900005,-5809.57819925,6912,0,256,162,0,14
Alabama,2020-05-01,161490.0,2203.24678369,-5809.57819925,7088,0,272,176,0,16
