,Median,Mean,MAP,95-CI
$t_1$,0.269,0.668,0.269,[0.064 - 2.645]
$t_2$,15.272,15.449,15.272,[13.328 - 17.332]
$t_3$,21.558,21.491,21.605,[19.361 - 23.227]
$t_4$,54.321,54.095,54.613,[51.450 - 56.342]
$\Delta t_1$,2.073,2.232,1.951,[1.122 - 3.587]
$\Delta t_2$,3.532,3.489,3.621,[1.826 - 5.290]
$\Delta t_3$,3.043,3.158,2.824,[1.687 - 5.294]
$\Delta t_4$,2.712,2.634,3.036,[1.477 - 3.696]
$\lambda_0$,1.015,1.076,0.866,[0.601 - 1.762]
$\lambda_1$,0.228,0.232,0.241,[0.149 - 0.348]
$\lambda_2$,0.292,0.299,0.289,[0.198 - 0.495]
$\lambda_3$,0.164,0.167,0.164,[0.095 - 0.259]
$\lambda_4$,0.160,0.171,0.136,[0.037 - 0.346]
$\mu$,0.163,0.167,0.163,[0.113 - 0.255]
$f_I$,0.701,0.729,0.615,[0.520 - 1.031]
$\phi_I$,-2.414,-1.875,-2.465,[-3.449 - 1.666]
$f_D$,0.680,0.669,0.735,[0.467 - 0.852]
$\phi_D$,1.745,1.671,1.762,[-0.134 - 2.724]
$D_I$,6.016,6.171,6.016,[3.711 - 8.372]
$D_D$,4.819,4.844,4.134,[3.516 - 6.997]
$E_0$,229.779,228.422,259.206,[16.370 - 458.308]
$\sigma_I$,9.533,10.194,8.994,[6.084 - 16.941]
$\sigma_D$,2.512,2.540,2.396,[1.876 - 3.495]
$lpha$,0.112,0.127,0.078,[0.018 - 0.292]
$eta$,0.203,0.222,0.203,[0.147 - 0.413]
$\gamma$,0.312,0.811,0.315,[0.153 - 2.746]
$\eta$,0.532,0.503,0.604,[0.282 - 0.680]
$	heta$,0.187,0.193,0.175,[0.102 - 0.304]
$\delta$,0.090,0.096,0.085,[0.054 - 0.181]
$d$,0.272,0.249,0.287,[0.144 - 0.361]
