,Median,Mean,MAP,95-CI
$t_1$,5.507,5.617,5.438,[0.701 - 11.359]
$t_2$,15.299,15.310,15.254,[13.346 - 17.279]
$t_3$,22.005,22.007,22.008,[19.978 - 24.065]
$t_4$,54.580,54.556,54.583,[52.706 - 56.182]
$\Delta t_1$,2.784,2.888,2.579,[1.339 - 5.084]
$\Delta t_2$,3.119,3.232,2.962,[1.668 - 5.432]
$\Delta t_3$,3.155,3.249,2.995,[1.738 - 5.311]
$\Delta t_4$,2.659,2.715,2.578,[1.471 - 4.254]
$\lambda_0$,0.438,0.462,0.406,[0.276 - 0.782]
$\lambda_1$,0.269,0.280,0.255,[0.143 - 0.472]
$\lambda_2$,0.278,0.295,0.245,[0.104 - 0.581]
$\lambda_3$,0.256,0.260,0.248,[0.157 - 0.386]
$\lambda_4$,0.141,0.156,0.122,[0.051 - 0.342]
$\mu$,0.148,0.151,0.144,[0.095 - 0.224]
$f_I$,0.820,0.811,0.839,[0.535 - 1.033]
$\phi_I$,0.662,0.501,1.946,[-2.816 - 3.232]
$f_D$,0.506,0.495,0.524,[0.159 - 0.794]
$\phi_D$,0.832,0.802,0.852,[-0.742 - 2.118]
$D_I$,7.570,7.637,7.633,[4.858 - 10.857]
$D_D$,5.723,5.751,5.788,[3.251 - 8.482]
$E_0$,303.979,312.556,296.737,[149.887 - 528.921]
$\sigma_I$,8.390,8.539,8.234,[5.768 - 12.190]
$\sigma_D$,2.009,2.046,1.941,[1.351 - 2.926]
$lpha$,0.111,0.138,0.061,[0.007 - 0.416]
$eta$,0.225,0.233,0.214,[0.119 - 0.396]
$\gamma$,0.235,0.276,0.184,[0.098 - 0.710]
$\eta$,0.470,0.487,0.445,[0.294 - 0.773]
$	heta$,0.166,0.176,0.125,[0.076 - 0.314]
$\delta$,0.048,0.054,0.035,[0.020 - 0.121]
$d$,0.192,0.198,0.138,[0.083 - 0.334]
