,Median,Mean,MAP,95-CI
$t_1$,1.372,1.548,0.989,[0.131 - 3.569]
$t_2$,14.357,14.218,14.475,[11.454 - 16.830]
$t_3$,21.290,21.129,21.735,[18.106 - 23.577]
$t_4$,53.406,52.124,53.384,[45.096 - 55.248]
$\Delta t_1$,2.173,2.312,2.020,[1.313 - 4.007]
$\Delta t_2$,2.811,2.818,2.134,[1.485 - 4.248]
$\Delta t_3$,3.232,3.324,3.096,[1.480 - 6.288]
$\Delta t_4$,2.952,2.930,3.212,[1.703 - 4.320]
$\lambda_0$,0.874,1.082,0.791,[0.452 - 2.902]
$\lambda_1$,0.177,0.173,0.178,[0.115 - 0.254]
$\lambda_2$,0.217,0.208,0.219,[0.086 - 0.282]
$\lambda_3$,0.182,0.190,0.167,[0.135 - 0.268]
$\lambda_4$,0.128,0.132,0.094,[0.019 - 0.308]
$\mu$,0.149,0.152,0.147,[0.117 - 0.205]
$f_I$,0.549,0.559,0.557,[0.352 - 0.758]
$\phi_I$,1.892,1.844,1.911,[0.594 - 2.831]
$f_D$,0.735,0.696,0.753,[0.414 - 0.900]
$\phi_D$,1.184,0.714,1.381,[-1.729 - 2.257]
$D_I$,6.079,5.273,6.361,[1.448 - 7.555]
$D_D$,5.618,5.440,5.575,[2.842 - 8.267]
$E_0$,51.691,107.578,49.329,[3.344 - 591.780]
$\sigma_I$,7.277,8.462,7.233,[5.712 - 14.562]
$\sigma_D$,3.755,3.924,3.667,[3.037 - 6.858]
$lpha$,0.171,0.163,0.169,[0.011 - 0.374]
$eta$,0.212,0.216,0.211,[0.138 - 0.380]
$\gamma$,2.534,2.182,2.672,[0.363 - 3.175]
$\eta$,0.428,0.416,0.436,[0.231 - 0.587]
$	heta$,0.173,0.175,0.173,[0.101 - 0.248]
$\delta$,0.083,0.092,0.071,[0.046 - 0.161]
$d$,0.227,0.216,0.243,[0.091 - 0.362]
