,Median,Mean,MAP,95-CI
$t_1$,7.267,7.178,7.404,[2.756 - 10.965]
$t_2$,15.042,15.056,15.077,[13.046 - 17.114]
$t_3$,22.159,22.165,22.135,[20.102 - 24.258]
$t_4$,54.615,54.587,54.632,[52.776 - 56.252]
$\Delta t_1$,2.947,3.057,2.806,[1.652 - 5.014]
$\Delta t_2$,2.872,2.981,2.612,[1.404 - 5.184]
$\Delta t_3$,3.037,3.137,2.893,[1.551 - 5.353]
$\Delta t_4$,2.672,2.724,2.552,[1.523 - 4.197]
$\lambda_0$,0.668,0.695,0.634,[0.441 - 1.104]
$\lambda_1$,0.315,0.325,0.309,[0.178 - 0.533]
$\lambda_2$,0.267,0.275,0.250,[0.133 - 0.468]
$\lambda_3$,0.195,0.198,0.192,[0.133 - 0.275]
$\lambda_4$,0.220,0.237,0.185,[0.093 - 0.474]
$\mu$,0.155,0.158,0.147,[0.105 - 0.224]
$f_I$,0.829,0.818,0.848,[0.614 - 0.970]
$\phi_I$,-1.133,-0.617,-2.643,[-4.213 - 3.819]
$f_D$,0.454,0.453,0.450,[0.298 - 0.596]
$\phi_D$,1.858,1.849,1.867,[1.413 - 2.227]
$D_I$,9.865,9.914,9.690,[7.240 - 12.776]
$D_D$,4.395,4.418,4.237,[2.565 - 6.418]
$E_0$,350.207,353.287,342.827,[211.693 - 514.370]
$\sigma_I$,4.028,4.066,3.993,[2.915 - 5.468]
$\sigma_D$,1.214,1.226,1.196,[0.837 - 1.690]
$lpha$,0.131,0.161,0.058,[0.008 - 0.474]
$eta$,0.225,0.234,0.208,[0.127 - 0.385]
$\gamma$,0.186,0.206,0.159,[0.097 - 0.429]
$\eta$,0.409,0.422,0.388,[0.268 - 0.647]
$	heta$,0.144,0.159,0.110,[0.070 - 0.305]
$\delta$,0.041,0.045,0.030,[0.019 - 0.094]
$d$,0.184,0.191,0.123,[0.077 - 0.330]
