,Median,Mean,MAP,95-CI
$t_1$,5.374,5.441,5.554,[0.806 - 10.554]
$t_2$,15.142,15.134,15.202,[13.112 - 17.133]
$t_3$,21.975,21.977,21.970,[19.932 - 24.045]
$t_4$,54.603,54.562,54.702,[52.835 - 56.150]
$\Delta t_1$,2.846,2.971,2.619,[1.428 - 5.248]
$\Delta t_2$,3.038,3.157,2.830,[1.519 - 5.505]
$\Delta t_3$,3.161,3.283,2.908,[1.725 - 5.526]
$\Delta t_4$,2.674,2.733,2.573,[1.488 - 4.272]
$\lambda_0$,0.504,0.531,0.458,[0.326 - 0.887]
$\lambda_1$,0.291,0.299,0.285,[0.164 - 0.488]
$\lambda_2$,0.249,0.260,0.230,[0.108 - 0.483]
$\lambda_3$,0.224,0.227,0.220,[0.143 - 0.327]
$\lambda_4$,0.139,0.154,0.121,[0.056 - 0.333]
$\mu$,0.153,0.156,0.146,[0.102 - 0.228]
$f_I$,0.773,0.767,0.789,[0.499 - 1.007]
$\phi_I$,1.694,1.503,1.939,[-1.105 - 3.039]
$f_D$,0.658,0.653,0.665,[0.398 - 0.879]
$\phi_D$,2.157,2.000,2.274,[-0.124 - 3.234]
$D_I$,6.931,6.993,6.819,[4.542 - 9.811]
$D_D$,6.002,6.048,5.969,[3.841 - 8.560]
$E_0$,284.591,291.592,262.235,[144.902 - 472.169]
$\sigma_I$,4.895,4.957,4.873,[3.473 - 6.896]
$\sigma_D$,1.017,1.028,1.018,[0.709 - 1.419]
$lpha$,0.119,0.144,0.062,[0.008 - 0.422]
$eta$,0.230,0.238,0.216,[0.126 - 0.392]
$\gamma$,0.205,0.237,0.166,[0.093 - 0.573]
$\eta$,0.464,0.480,0.442,[0.295 - 0.754]
$	heta$,0.175,0.183,0.131,[0.078 - 0.318]
$\delta$,0.045,0.050,0.034,[0.019 - 0.109]
$d$,0.189,0.194,0.123,[0.078 - 0.332]
