areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate
E12000007,London,region,2021-09-16,2620,
E12000007,London,region,2021-09-15,2588,2
E12000007,London,region,2021-09-14,2073,8
E12000007,London,region,2021-09-13,2673,5
E12000007,London,region,2021-09-12,2239,5
E12000007,London,region,2021-09-11,2857,6
E12000007,London,region,2021-09-10,3025,8
E12000007,London,region,2021-09-09,3439,15
E12000007,London,region,2021-09-08,3536,10
E12000007,London,region,2021-09-07,2972,10
E12000007,London,region,2021-09-06,2853,14
E12000007,London,region,2021-09-05,3641,8
E12000007,London,region,2021-09-04,3593,8
E12000007,London,region,2021-09-03,3530,20
E12000007,London,region,2021-09-02,3377,12
E12000007,London,region,2021-09-01,2834,10
E12000007,London,region,2021-08-31,2409,11
E12000007,London,region,2021-08-30,2751,8
E12000007,London,region,2021-08-29,2517,7
E12000007,London,region,2021-08-28,3272,14
E12000007,London,region,2021-08-27,3355,11
E12000007,London,region,2021-08-26,3472,12
E12000007,London,region,2021-08-25,3544,9
E12000007,London,region,2021-08-24,2782,8
E12000007,London,region,2021-08-23,2754,14
E12000007,London,region,2021-08-22,2977,13
E12000007,London,region,2021-08-21,3424,13
E12000007,London,region,2021-08-20,4093,16
E12000007,London,region,2021-08-19,3272,12
E12000007,London,region,2021-08-18,3489,10
E12000007,London,region,2021-08-17,3032,12
E12000007,London,region,2021-08-16,3166,9
E12000007,London,region,2021-08-15,3157,13
E12000007,London,region,2021-08-14,3870,12
E12000007,London,region,2021-08-13,4249,7
E12000007,London,region,2021-08-12,4005,17
E12000007,London,region,2021-08-11,3736,12
E12000007,London,region,2021-08-10,2844,5
E12000007,London,region,2021-08-09,2985,8
E12000007,London,region,2021-08-08,3662,7
E12000007,London,region,2021-08-07,3898,8
E12000007,London,region,2021-08-06,4409,8
E12000007,London,region,2021-08-05,3768,14
E12000007,London,region,2021-08-04,3876,13
E12000007,London,region,2021-08-03,2978,6
E12000007,London,region,2021-08-02,2719,8
E12000007,London,region,2021-08-01,3121,9
E12000007,London,region,2021-07-31,3686,8
E12000007,London,region,2021-07-30,3753,12
E12000007,London,region,2021-07-29,4333,10
E12000007,London,region,2021-07-28,3340,10
E12000007,London,region,2021-07-27,3227,4
E12000007,London,region,2021-07-26,3056,8
E12000007,London,region,2021-07-25,3926,5
E12000007,London,region,2021-07-24,4557,4
E12000007,London,region,2021-07-23,5187,10
E12000007,London,region,2021-07-22,4463,6
E12000007,London,region,2021-07-21,5763,8
E12000007,London,region,2021-07-20,7086,8
E12000007,London,region,2021-07-19,3940,6
E12000007,London,region,2021-07-18,5451,7
E12000007,London,region,2021-07-17,6592,3
E12000007,London,region,2021-07-16,6296,2
E12000007,London,region,2021-07-15,5743,2
E12000007,London,region,2021-07-14,4751,3
E12000007,London,region,2021-07-13,4126,4
E12000007,London,region,2021-07-12,4201,2
E12000007,London,region,2021-07-11,3669,0
E12000007,London,region,2021-07-10,4131,3
E12000007,London,region,2021-07-09,3046,2
E12000007,London,region,2021-07-08,3234,2
E12000007,London,region,2021-07-07,3314,1
E12000007,London,region,2021-07-06,3633,2
E12000007,London,region,2021-07-05,3343,2
E12000007,London,region,2021-07-04,2218,1
E12000007,London,region,2021-07-03,2531,3
E12000007,London,region,2021-07-02,2651,2
E12000007,London,region,2021-07-01,2705,3
E12000007,London,region,2021-06-30,2598,4
E12000007,London,region,2021-06-29,2069,3
E12000007,London,region,2021-06-28,2306,0
E12000007,London,region,2021-06-27,1493,3
E12000007,London,region,2021-06-26,1993,0
