areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-09-14,6538,7312683
overview,United Kingdom,K02000001,2021-09-13,28847,7306145
overview,United Kingdom,K02000001,2021-09-12,22754,7277298
overview,United Kingdom,K02000001,2021-09-11,22538,7254544
overview,United Kingdom,K02000001,2021-09-10,28537,7232006
overview,United Kingdom,K02000001,2021-09-09,33350,7203469
overview,United Kingdom,K02000001,2021-09-08,35168,7170119
overview,United Kingdom,K02000001,2021-09-07,37951,7134951
overview,United Kingdom,K02000001,2021-09-06,44029,7097000
overview,United Kingdom,K02000001,2021-09-05,31193,7052971
overview,United Kingdom,K02000001,2021-09-04,31282,7021778
overview,United Kingdom,K02000001,2021-09-03,37945,6990496
overview,United Kingdom,K02000001,2021-09-02,41553,6952551
overview,United Kingdom,K02000001,2021-09-01,42750,6910998
overview,United Kingdom,K02000001,2021-08-31,44416,6868248
overview,United Kingdom,K02000001,2021-08-30,34102,6823832
overview,United Kingdom,K02000001,2021-08-29,25640,6789730
overview,United Kingdom,K02000001,2021-08-28,27127,6764090
overview,United Kingdom,K02000001,2021-08-27,33093,6736963
overview,United Kingdom,K02000001,2021-08-26,36930,6703870
overview,United Kingdom,K02000001,2021-08-25,37999,6666940
overview,United Kingdom,K02000001,2021-08-24,36949,6628941
overview,United Kingdom,K02000001,2021-08-23,38973,6591992
overview,United Kingdom,K02000001,2021-08-22,28267,6553019
overview,United Kingdom,K02000001,2021-08-21,28044,6524752
overview,United Kingdom,K02000001,2021-08-20,31628,6496708
overview,United Kingdom,K02000001,2021-08-19,35786,6465080
overview,United Kingdom,K02000001,2021-08-18,37957,6429294
overview,United Kingdom,K02000001,2021-08-17,37094,6391337
overview,United Kingdom,K02000001,2021-08-16,36159,6354243
overview,United Kingdom,K02000001,2021-08-15,24889,6318084
overview,United Kingdom,K02000001,2021-08-14,24611,6293195
overview,United Kingdom,K02000001,2021-08-13,28406,6268584
overview,United Kingdom,K02000001,2021-08-12,31069,6240178
overview,United Kingdom,K02000001,2021-08-11,32683,6209109
overview,United Kingdom,K02000001,2021-08-10,30883,6176426
overview,United Kingdom,K02000001,2021-08-09,31502,6145543
overview,United Kingdom,K02000001,2021-08-08,22372,6114041
overview,United Kingdom,K02000001,2021-08-07,22092,6091669
overview,United Kingdom,K02000001,2021-08-06,27513,6069577
overview,United Kingdom,K02000001,2021-08-05,31047,6042064
overview,United Kingdom,K02000001,2021-08-04,31675,6011017
overview,United Kingdom,K02000001,2021-08-03,29800,5979342
overview,United Kingdom,K02000001,2021-08-02,29230,5949542
overview,United Kingdom,K02000001,2021-08-01,20487,5920312
overview,United Kingdom,K02000001,2021-07-31,20140,5899825
overview,United Kingdom,K02000001,2021-07-30,24248,5879685
overview,United Kingdom,K02000001,2021-07-29,27850,5855437
overview,United Kingdom,K02000001,2021-07-28,29583,5827587
overview,United Kingdom,K02000001,2021-07-27,28995,5798004
overview,United Kingdom,K02000001,2021-07-26,29302,5769009
overview,United Kingdom,K02000001,2021-07-25,21741,5739707
overview,United Kingdom,K02000001,2021-07-24,22440,5717966
overview,United Kingdom,K02000001,2021-07-23,27211,5695526
overview,United Kingdom,K02000001,2021-07-22,30651,5668315
overview,United Kingdom,K02000001,2021-07-21,34887,5637664
overview,United Kingdom,K02000001,2021-07-20,39039,5602777
overview,United Kingdom,K02000001,2021-07-19,46839,5563738
overview,United Kingdom,K02000001,2021-07-18,35470,5516899
overview,United Kingdom,K02000001,2021-07-17,37820,5481429
overview,United Kingdom,K02000001,2021-07-16,54200,5443609
overview,United Kingdom,K02000001,2021-07-15,60700,5389409
overview,United Kingdom,K02000001,2021-07-14,53782,5328709
overview,United Kingdom,K02000001,2021-07-13,46705,5274927
overview,United Kingdom,K02000001,2021-07-12,43610,5228222
overview,United Kingdom,K02000001,2021-07-11,30008,5184612
overview,United Kingdom,K02000001,2021-07-10,27863,5154604
overview,United Kingdom,K02000001,2021-07-09,32214,5126741
overview,United Kingdom,K02000001,2021-07-08,33338,5094527
overview,United Kingdom,K02000001,2021-07-07,37806,5061189
overview,United Kingdom,K02000001,2021-07-06,35361,5023383
overview,United Kingdom,K02000001,2021-07-05,34178,4988022
overview,United Kingdom,K02000001,2021-07-04,24666,4953844
overview,United Kingdom,K02000001,2021-07-03,23555,4929178
overview,United Kingdom,K02000001,2021-07-02,25770,4905623
overview,United Kingdom,K02000001,2021-07-01,28104,4879853
overview,United Kingdom,K02000001,2021-06-30,28327,4851749
overview,United Kingdom,K02000001,2021-06-29,27589,4823422
overview,United Kingdom,K02000001,2021-06-28,27743,4795833
overview,United Kingdom,K02000001,2021-06-27,18125,4768090
overview,United Kingdom,K02000001,2021-06-26,15966,4749965
overview,United Kingdom,K02000001,2021-06-25,17768,4733999
overview,United Kingdom,K02000001,2021-06-24,18296,4716231
overview,United Kingdom,K02000001,2021-06-23,17904,4697935
overview,United Kingdom,K02000001,2021-06-22,17000,4680031
overview,United Kingdom,K02000001,2021-06-21,15951,4663031
overview,United Kingdom,K02000001,2021-06-20,9873,4647080
overview,United Kingdom,K02000001,2021-06-19,8253,4637207
overview,United Kingdom,K02000001,2021-06-18,10058,4628954
overview,United Kingdom,K02000001,2021-06-17,10774,4618896
overview,United Kingdom,K02000001,2021-06-16,10775,4608122
overview,United Kingdom,K02000001,2021-06-15,10493,4597347
overview,United Kingdom,K02000001,2021-06-14,10103,4586854
overview,United Kingdom,K02000001,2021-06-13,6953,4576751
overview,United Kingdom,K02000001,2021-06-12,6114,4569798
overview,United Kingdom,K02000001,2021-06-11,7440,4563684
overview,United Kingdom,K02000001,2021-06-10,7838,4556244
overview,United Kingdom,K02000001,2021-06-09,7999,4548406
overview,United Kingdom,K02000001,2021-06-08,7674,4540407
overview,United Kingdom,K02000001,2021-06-07,7743,4532733
overview,United Kingdom,K02000001,2021-06-06,5404,4524990
overview,United Kingdom,K02000001,2021-06-05,4622,4519586
overview,United Kingdom,K02000001,2021-06-04,5705,4514964
overview,United Kingdom,K02000001,2021-06-03,6099,4509259
overview,United Kingdom,K02000001,2021-06-02,6048,4503160
overview,United Kingdom,K02000001,2021-06-01,5234,4497112
overview,United Kingdom,K02000001,2021-05-31,3782,4491878
overview,United Kingdom,K02000001,2021-05-30,3095,4488096
overview,United Kingdom,K02000001,2021-05-29,2932,4485001
overview,United Kingdom,K02000001,2021-05-28,3490,4482069
overview,United Kingdom,K02000001,2021-05-27,3637,4478579
overview,United Kingdom,K02000001,2021-05-26,3799,4474942
overview,United Kingdom,K02000001,2021-05-25,3305,4471143
overview,United Kingdom,K02000001,2021-05-24,3236,4467838
overview,United Kingdom,K02000001,2021-05-23,2240,4464602
overview,United Kingdom,K02000001,2021-05-22,1925,4462362
overview,United Kingdom,K02000001,2021-05-21,2293,4460437
overview,United Kingdom,K02000001,2021-05-20,2425,4458144
overview,United Kingdom,K02000001,2021-05-19,2712,4455719
overview,United Kingdom,K02000001,2021-05-18,2707,4453007
overview,United Kingdom,K02000001,2021-05-17,2764,4450300
overview,United Kingdom,K02000001,2021-05-16,1853,4447536
overview,United Kingdom,K02000001,2021-05-15,1580,4445683
overview,United Kingdom,K02000001,2021-05-14,1850,4444103
overview,United Kingdom,K02000001,2021-05-13,2092,4442253
overview,United Kingdom,K02000001,2021-05-12,2229,4440161
